000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,003,018,018,018,126,136,175,026,166,255,247,127,000,000,000,000
000,000,000,000,000,000,000,000,030,036,094,154,170,253,253,253,253,253,225,172,253,242,195,064,000,000,000,000
000,000,000,000,000,000,000,049,238,253,253,253,253,253,253,253,253,251,093,082,082,056,039,000,000,000,000,000
000,000,000,000,000,000,000,018,219,253,253,253,253,253,198,182,247,241,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,080,156,107,253,253,205,011,000,043,154,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,014,001,154,253,090,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,139,253,190,002,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,011,190,253,070,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,035,241,225,160,108,001,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,081,240,253,253,119,025,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,045,186,253,253,150,027,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,016,093,252,253,187,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,249,253,249,064,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,046,130,183,253,253,207,002,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,039,148,229,253,253,253,250,182,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,024,114,221,253,253,253,253,201,078,000,000,000,000,000,000,000,000,000
